function_name,total_time,call_count,avg_time,cpu_time,wait_time,memory_usage,file
_name_get,9.7e-06,1,9.7e-06,8.1e-06,1.6e-06,,_dtype.py
asarray_tuplesafe,1.43e-05,1,1.43e-05,5.2e-06,9.100000000000001e-06,,common.py
format,0.0130887,156,8.390192307692308e-05,0.0009252,0.0121635,,__init__.py
import_optional_dependency,0.0062696,1,0.0062696,2.57e-05,0.0062439,,_optional.py
seed,2.5600000000000002e-05,2,1.2800000000000001e-05,1.06e-05,1.5000000000000002e-05,,random.py
_sys_version,2.6e-06,1,2.6e-06,1.7e-06,9.000000000000001e-07,,platform.py
getLogger,3.94e-05,1,3.94e-05,1.76e-05,2.18e-05,,__init__.py
callHandlers,0.0372369,156,0.00023869807692307695,0.0010235,0.03621340000000001,,__init__.py
choices,6.24e-05,7,8.914285714285714e-06,4.52e-05,1.7199999999999998e-05,,random.py
__getitem__,0.00023420000000000003,1,0.00023420000000000003,1.46e-05,0.00021960000000000003,,indexing.py
ensure_index,0.0006611000000000001,7,9.444285714285715e-05,0.00042770000000000004,0.00023340000000000004,,base.py
_simple_new,2.4800000000000003e-05,2,1.2400000000000002e-05,2.33e-05,1.5000000000000026e-06,,datetimes.py
_from_sequence_not_strict,0.0010064,2,0.0005032,5.7700000000000007e-05,0.0009486999999999999,,datetimes.py
__new__,0.0006837000000000001,3,0.00022790000000000004,0.0001055,0.0005782000000000001,,base.py
objects_to_datetime64,0.0007165,1,0.0007165,0.0007152,1.2999999999999774e-06,,datetimes.py
_get_item_cache,0.00031830000000000004,5,6.366000000000001e-05,2.26e-05,0.00029570000000000003,,frame.py
get_loc,1.8900000000000002e-05,7,2.7000000000000004e-06,1.77e-05,1.200000000000002e-06,,base.py
_slice,0.00016790000000000002,1,0.00016790000000000002,5.78e-05,0.00011010000000000002,,generic.py
_maybe_pin_freq,2.0000000000000003e-06,2,1.0000000000000002e-06,2.0000000000000003e-06,0.0,,datetimelike.py
_fixupParents,4.7e-06,1,4.7e-06,3.2000000000000003e-06,1.4999999999999996e-06,,__init__.py
maybe_convert_indices,0.0001072,1,0.0001072,4.32e-05,6.400000000000001e-05,,utils.py
__init__,0.00014250000000000002,2,7.125000000000001e-05,5.7300000000000004e-05,8.520000000000001e-05,,__init__.py
_noop,3.0000000000000004e-07,2,1.5000000000000002e-07,3.0000000000000004e-07,0.0,,parse.py
_atleast_2d_dispatcher,3.0000000000000004e-07,1,3.0000000000000004e-07,3.0000000000000004e-07,0.0,,shape_base.py
__init__,1.7e-05,2,8.5e-06,8.900000000000001e-06,8.099999999999999e-06,,pathlib.py
