ACTIVE,NAME,MARGIN,MIN_SIZE,CONTRACT_SIZE,TICK_VALUE,SWAP_LONG,SWAP_SHORT,ELIMINATED,COMISSION_PER_ORDER,SECTOR
VOE,Vanguard Mid-Cap Value ETF,20.00%,1.00,1 VOE,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
VPL,Vanguard FTSE Pacific ETF,20.00%,1.00,1 VPL,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
VT,Vanguard Total World Stock ETF,20.00%,1.00,1 VT,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
VTI,Vanguard Total Stock Market ET,20.00%,1.00,1 VTI,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
VWO,Vanguard FTSE Emerging Markets,20.00%,1.00,1 VWO,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
VXF,Vanguard Extended Market ETF,20.00%,1.00,1 VXF,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
VXUS,Vanguard Total International S,20.00%,1.00,1 VXUS,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
XBI,SPDR S&P Biotech ETF,20.00%,1.00,1 XBI,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
XLB,Materials Select Sector SPDR F,20.00%,1.00,1 XLB,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
XLC,Communication Services Select,20.00%,1.00,1 XLC,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
XLE,Energy Select Sector SPDR Fund,20.00%,1.00,1 XLE,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
XLF,Financial Select Sector SPDR F,20.00%,1.00,1 XLF,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
XLI,Industrial Select Sector SPDR,20.00%,1.00,1 XLI,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
XLK,Technology Select Sector SPDR,20.00%,1.00,1 XLK,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
XLP,Consumer Staples Select Sector,20.00%,1.00,1 XLP,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
XLU,Utilities Select Sector SPDR F,20.00%,1.00,1 XLU,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
XLV,Health Care Select Sector SPDR,20.00%,1.00,1 XLV,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
XLY,Consumer Discretionary Select,20.00%,1.00,1 XLY,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
