         130955 function calls (129194 primitive calls) in 33.150 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      156    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\threading.py:1182(name)
      207    0.000    0.000    0.019    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\utils.py:378(disp_len)
      479    0.000    0.000    0.000    0.000 {built-in method time.time}
      360    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       24    0.000    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\synchronize.py:100(__getstate__)
      156    0.000    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:170(<lambda>)
      303    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
      806    0.000    0.000    0.006    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\__init__.py:1634(_cpu_tot_time)
   100/17    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      156    0.000    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:447(usesTime)
       24    0.000    0.000    0.005    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\reduction.py:58(dump)
      140    0.000    0.000    0.081    0.001 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\utils.py:194(inner)
      156    0.000    0.000    0.035    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:988(format)
      4/1    0.000    0.000    0.211    0.211 C:\Users\spinz\anaconda3\Lib\threading.py:1001(run)
      522    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       75    0.000    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:102(acquire)
      312    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:975(release)
        1    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
      173    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\threading.py:1485(current_thread)
      163    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      4/0    0.000    0.000    0.000          C:\Users\spinz\anaconda3\Lib\threading.py:1058(_bootstrap_inner)
      156    0.000    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:668(usesTime)
     1449    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       31    0.000    0.000    0.003    0.000 C:\Users\spinz\anaconda3\Lib\json\encoder.py:183(encode)
       24    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\process.py:350(__reduce__)
      393    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
